역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,15621433,1088949,916932,988045,1185385,1400456,1349316,1367978,1352287,1366942,1529891,1523945,1551307
150,서울역(1),하차,15172442,1050145,860796,954476,1154618,1366591,1315763,1339173,1308757,1338840,1496162,1477251,1509870
151,시청(1),승차,7504202,507774,433602,503092,574976,644937,620127,641273,637264,651131,760846,756706,772474
151,시청(1),하차,7591045,508237,440144,506303,584417,658279,624554,657393,649885,659746,774765,765217,762105
152,종각,승차,11340426,830732,679190,764501,876933,1010555,969271,1006711,989714,965332,1049318,1069112,1129057
152,종각,하차,10975658,796150,656218,736862,843089,974712,940829,985824,963022,940611,1011322,1032865,1094154
153,종로3가(1),승차,8734554,656125,552205,618069,712887,799668,756197,753025,714618,748203,825391,792180,805986
153,종로3가(1),하차,7987174,601965,510518,568693,648070,720897,688964,698755,661307,680876,745106,718163,743860
154,종로5가,승차,7542481,559733,476879,551565,619601,675261,650455,644755,618256,634229,704441,681262,726044
154,종로5가,하차,7495634,552920,471706,546946,618405,675247,650869,642341,616993,635526,699701,673396,711584
155,동대문(1),승차,3891966,298111,252174,290677,326634,360280,332790,334227,312230,333518,358139,339905,353281
155,동대문(1),하차,3714567,281274,238236,274331,310264,346998,320413,319821,295307,317451,347260,325664,337548
156,신설동(1),승차,4501419,350672,300675,344731,375766,403149,380011,387239,366162,378268,404501,404900,405345
156,신설동(1),하차,4367538,338965,295113,336238,367215,393349,362789,377013,358114,365271,391245,391261,390965
157,제기동,승차,5754294,478656,366319,432792,484727,512542,484405,487718,481633,498265,526102,502783,498352
157,제기동,하차,5874024,492913,372954,442927,495137,524263,493838,496234,493439,510124,534548,510418,507229
158,청량리,승차,6766841,538777,439787,512528,567136,622601,576393,576307,563361,579768,609150,591321,589712
158,청량리,하차,6792085,544757,441801,511722,562086,620038,578300,580513,566099,585380,615455,594609,591325
159,동묘앞(1),승차,3238567,247026,206500,240709,281701,308364,272769,271762,252855,279530,314069,289194,274088
159,동묘앞(1),하차,3364816,255518,215082,252935,293582,319554,283125,280351,261286,289492,327614,301584,284693
201,시청(2),승차,7304251,533771,452316,502146,566257,629435,598906,637494,623207,613157,682232,720983,744347
201,시청(2),하차,6949333,504488,430487,477591,544967,606214,574942,613806,597267,585717,646367,690274,677213
202,을지로입구,승차,13057489,947320,771064,858242,975997,1093019,1066517,1137205,1124570,1124996,1223761,1289314,1445484
202,을지로입구,하차,13295594,952048,777615,878261,998380,1130909,1097460,1162098,1147831,1149445,1239056,1312559,1449932
203,을지로3가(2),승차,7177012,531725,434177,488777,569325,632403,610954,637680,620678,610815,655112,682651,702715
203,을지로3가(2),하차,7196631,524327,429759,486250,572628,641773,616025,642165,623713,614299,654278,682071,709343
204,을지로4가(2),승차,4107606,308488,257422,296409,325454,352194,343624,355504,352981,348080,374301,388776,404373
204,을지로4가(2),하차,4131457,303297,255759,296395,329902,356582,345655,354374,351501,348684,378284,396031,414993
205,동대문역사문화공원(2),승차,4467174,321239,269495,322836,347765,389685,378381,395419,375282,376554,436919,411692,441907
205,동대문역사문화공원(2),하차,5064508,356653,301202,363742,392191,442654,431197,449881,424713,428469,499723,469862,504221
206,신당(2),승차,4664682,356353,306037,347278,389832,418042,397669,402706,389146,394125,419439,417162,426893
206,신당(2),하차,4840389,371778,320347,358846,405707,434386,410277,414353,403278,407971,436020,431887,445539
207,상왕십리,승차,4629501,358216,305783,345670,380572,413734,395997,401718,388758,392639,408370,414235,423809
207,상왕십리,하차,4481755,350972,301970,338194,367092,396122,382075,388093,376537,377314,392178,400609,410599
208,왕십리(2),승차,5531986,407946,350744,425724,465368,517053,469521,469795,448887,472929,494625,501719,507675
208,왕십리(2),하차,4661427,346966,297295,348240,381981,429714,394834,402038,383640,388680,412337,428374,447328
209,한양대,승차,3423211,164473,144467,329785,338382,396078,283589,209253,191005,340054,344726,377779,303620
209,한양대,하차,3747475,170492,154756,364526,370373,454255,310932,221713,202956,375390,379956,414764,327362
210,뚝섬,승차,7204485,544778,461813,516841,629300,650193,614038,622337,608325,604439,640581,652198,659642
210,뚝섬,하차,7651484,576861,490712,551470,660615,692200,655608,666113,650811,644636,675777,688765,697916
211,성수,승차,11809385,916248,776313,865750,957866,1021491,976102,1037241,1007341,965907,1030284,1102538,1152304
211,성수,하차,12955534,984953,838423,946293,1057808,1138897,1076016,1138953,1105060,1073489,1134541,1207687,1253414
212,건대입구(2),승차,12322132,964256,802017,936845,1051161,1160408,1033294,1055364,1003670,1029968,1085245,1080618,1119286
212,건대입구(2),하차,13244322,1016924,851104,985481,1126670,1249058,1119393,1152266,1093327,1112307,1168635,1157188,1211969
213,구의,승차,7680088,600164,514457,580524,632355,676856,643685,659566,642340,644013,680715,693948,711465
213,구의,하차,7531252,595740,514018,574046,618142,657066,632540,645827,629963,626608,662355,678089,696858
214,강변,승차,10753329,791132,683063,734389,855031,992902,938313,962652,934858,931947,994911,960201,973930
214,강변,하차,10298779,783866,638923,699213,813771,946081,896131,926268,901206,894935,952330,917403,928652
215,잠실나루,승차,4555351,346110,291408,328730,373764,413016,392364,392695,384271,389092,406605,424129,413167
215,잠실나루,하차,4451874,337170,285017,321446,365618,402209,383206,382146,377036,380799,401382,414616,401229
216,잠실(2),승차,25095466,1851542,1514596,1641518,2187176,2210023,2060906,2246461,2123096,2067704,2414290,2239131,2539023
216,잠실(2),하차,24692572,1818865,1477610,1612184,2147958,2170807,2028396,2212989,2087236,2044618,2369384,2214810,2507715
217,잠실새내,승차,7196716,547082,461560,513558,585860,642380,611630,633669,607135,611214,647531,653603,681494
217,잠실새내,하차,7261864,550080,464873,516682,591311,647725,616580,644824,616035,619817,652642,652998,688297
218,종합운동장(2),승차,3951529,193603,162394,235911,314497,430402,401315,411013,343335,466039,419877,283035,290108
218,종합운동장(2),하차,4387440,207320,173400,252564,347397,483448,441176,452319,397422,530557,470983,311903,318951
219,삼성,승차,16829608,1277479,1064601,1149362,1279636,1431174,1451932,1586456,1474598,1393946,1468658,1552005,1699761
219,삼성,하차,16910637,1273126,1059088,1158528,1295112,1456017,1466875,1590363,1479875,1401938,1478491,1562920,1688304
220,선릉,승차,16932460,1316432,1101392,1236887,1363406,1480716,1451019,1513213,1464833,1407973,1471025,1556815,1568749
220,선릉,하차,15023791,1163713,975950,1101877,1215548,1317615,1285855,1337009,1297526,1249403,1304193,1385035,1390067
221,역삼,승차,15253065,1234014,1017029,1105511,1213427,1307004,1308785,1353385,1335098,1261724,1290667,1405959,1420462
221,역삼,하차,17120432,1352638,1120207,1235894,1366691,1491198,1473736,1520948,1494004,1425208,1462137,1592067,1585704
222,강남,승차,26203711,2205281,1825198,1958650,2158062,2346177,2214920,2392983,2225892,2105580,2191993,2231412,2347563
222,강남,하차,25697501,2149571,1776051,1927331,2166287,2364056,2182162,2333099,2152978,2051842,2136759,2176484,2280881
223,교대(2),승차,10367905,803529,682041,769329,853502,925364,892550,906270,873511,869645,896692,942415,953057
223,교대(2),하차,11736162,902146,762388,864723,962142,1054506,1012875,1025284,982996,987686,1019558,1072246,1089612
224,서초,승차,6915524,528068,442813,496398,565047,607632,586928,609962,583239,589758,607158,644630,653891
224,서초,하차,6552469,502350,424874,473278,526376,579169,559773,577848,553058,560501,569590,606009,619643
225,방배,승차,5537587,398230,334833,441268,482643,524826,471530,438191,425265,491362,503559,524296,501584
225,방배,하차,5749201,416331,350208,459718,501037,543759,489500,458127,439665,507310,519714,542912,520920
226,사당(2),승차,12911712,949651,804342,903833,1038293,1168393,1132117,1136222,1072782,1095458,1186105,1184693,1239823
226,사당(2),하차,14172941,1032181,874715,991362,1157894,1303682,1245557,1242380,1164182,1197425,1305121,1305896,1352546
227,낙성대,승차,9129132,696895,592775,688280,753169,818902,778912,796429,765868,779733,816662,819487,822020
227,낙성대,하차,8835609,677609,586050,671955,725856,789405,748376,764617,738734,753069,793355,796645,789938
228,서울대입구,승차,15633186,1224816,1046689,1214465,1318359,1415617,1311689,1340890,1289150,1305343,1378633,1386456,1401079
228,서울대입구,하차,15345437,1205414,1040368,1194557,1291861,1397809,1285144,1319764,1267303,1284864,1346344,1351190,1360819
229,봉천,승차,7805759,604771,517170,586228,642625,689586,668724,681505,664407,656795,690515,697407,706026
229,봉천,하차,7248556,568513,494273,547911,589642,629029,615690,630723,618861,608128,640751,647265,657770
230,신림,승차,20010240,1649661,1415625,1601634,1744122,1877165,1677175,1699591,1628630,1602894,1693111,1687843,1732789
230,신림,하차,19312270,1609570,1400344,1555097,1676852,1808289,1612560,1632136,1566109,1535820,1624139,1623190,1668164
231,신대방,승차,8601753,680799,584941,663638,739659,796094,731632,736068,704923,709386,752431,751583,750599
231,신대방,하차,8335505,664763,577219,648224,716381,763841,706581,711055,683590,684704,727809,726783,724555
232,구로디지털단지,승차,18487658,1461253,1233154,1378858,1507072,1631873,1576483,1612736,1559507,1544064,1629663,1666015,1686980
232,구로디지털단지,하차,18414987,1457395,1234711,1375610,1498117,1622434,1570697,1607975,1557588,1535940,1620267,1658512,1675741
233,대림(2),승차,7975594,619355,527534,594735,655165,717138,686922,688974,668193,677771,716736,714100,708971
233,대림(2),하차,8170487,638186,543741,612935,670071,731321,701346,705700,684030,694085,734752,729565,724755
234,신도림,승차,16049563,1223122,1044124,1161609,1307140,1441388,1375604,1384016,1334925,1338517,1460535,1473615,1504968
234,신도림,하차,16078701,1215029,1040056,1172064,1325963,1456051,1383906,1381249,1330414,1346679,1468097,1462313,1496880
235,문래,승차,6799537,516978,439635,503934,565426,605435,585795,596842,580146,569703,594070,616972,624601
235,문래,하차,7012021,527164,449118,516426,582057,627994,606816,617511,599311,589575,615540,637111,643398
236,영등포구청(2),승차,6916487,558172,478463,532541,575357,609244,581585,586671,572192,572974,600775,621023,627490
236,영등포구청(2),하차,7160927,572004,489372,547992,597721,635898,604864,607199,595227,594653,623525,643734,648738
237,당산,승차,5971970,452325,384685,448511,518289,555718,510327,499659,483919,503443,538156,543818,533120
237,당산,하차,6902667,517697,440238,512823,586443,636530,589608,581884,561948,588324,629075,639093,619004
238,합정(2),승차,10653559,828522,695334,777513,867575,954531,902029,935789,906430,892021,957059,948281,988475
238,합정(2),하차,11504260,859535,725253,814320,935736,1041508,981060,1024271,988158,979155,1046455,1033572,1075237
239,홍대입구,승차,20992654,1560626,1306300,1448645,1590095,1875536,1731854,1900710,1811079,1782859,1995835,1897141,2091974
239,홍대입구,하차,22357974,1589013,1334659,1499018,1708557,2014237,1868592,2042916,1943348,1927398,2150386,2037115,2242735
240,신촌,승차,11920203,862740,735633,852505,914032,1045715,982766,1055729,997465,1077274,1137906,1122685,1135753
240,신촌,하차,12074871,870854,745080,849484,925823,1063692,998589,1068373,1014872,1091148,1152515,1141200,1153241
241,이대,승차,4775211,321370,276324,345818,373795,417110,383408,389845,372240,461594,474782,497601,461324
241,이대,하차,5083135,338601,295673,367979,393104,441007,406981,413626,395222,493910,507932,537446,491654
242,아현,승차,3445870,253327,217209,258403,284532,311729,294761,298116,288028,296687,312323,316771,313984
242,아현,하차,3278502,245880,212103,249071,270915,292997,278038,280520,272510,281163,296784,300122,298399
243,충정로(2),승차,3126964,238079,205688,231475,255530,275970,263917,269411,263057,264438,277382,292431,289586
243,충정로(2),하차,3328858,250860,218550,246686,273609,294655,280961,285558,279703,281710,296235,313165,307166
244,용답,승차,1032531,73935,63612,87325,89610,95281,85438,83591,81873,91323,92887,96051,91605
244,용답,하차,1035728,74682,64776,91807,91235,95835,84598,79805,78458,91967,93148,97537,91880
245,신답,승차,553192,42143,35775,40949,45128,49613,47261,48223,46653,47032,49144,50918,50353
245,신답,하차,610489,48257,40695,46071,49780,53323,52146,53509,51673,51126,53556,55221,55132
246,신설동(2),승차,1257686,98828,83808,93235,103401,110693,106010,110289,102155,105157,115073,113310,115727
246,신설동(2),하차,1242073,101233,86099,95249,102875,109190,103366,107914,99599,101549,111013,109158,114828
247,도림천,승차,439103,34818,29643,34611,38537,38082,37146,38778,37460,36403,36203,38337,39085
247,도림천,하차,458863,36168,30681,35946,40913,39466,38357,39999,38732,38138,38277,40411,41775
248,양천구청,승차,2259855,173034,147018,166120,184568,203983,195739,192724,186330,193848,203882,207359,205250
248,양천구청,하차,2325296,182442,154105,172505,188784,206923,199178,197492,191330,197752,208007,213960,212818
249,신정네거리,승차,3397236,262762,221431,249704,279383,307792,292286,295250,282239,287304,304303,305901,308881
249,신정네거리,하차,3470616,272239,229866,258055,285242,311631,295604,299890,288558,291099,307564,313108,317760
250,용두,승차,792327,63847,52232,60615,64722,68599,65914,68059,67747,67448,68937,71431,72776
250,용두,하차,796222,65638,53777,61927,65529,68573,66087,67609,67653,67610,68369,70934,72516
309,지축,승차,1737425,112640,97399,117690,136769,152992,147306,149744,144661,152052,170065,178606,177501
309,지축,하차,1648927,109941,93849,111533,127398,140789,135989,140231,138542,144893,162124,171604,172034
310,구파발,승차,6912174,524699,446354,506119,558658,629757,592779,611553,579995,590787,624259,623285,623929
310,구파발,하차,6745466,503574,430677,491319,544535,614372,579602,599929,570833,579490,611598,607667,611870
311,연신내(3),승차,12059724,944286,812739,922891,1009937,1093774,1029113,1044644,1001552,1014430,1071167,1056473,1058718
311,연신내(3),하차,11410705,899611,776006,876936,954526,1030176,969732,983093,946481,957750,1010657,1000460,1005277
312,불광(3),승차,5395831,418526,359807,405055,445672,491605,462611,463506,444612,457122,485981,482060,479274
312,불광(3),하차,5835051,451915,390920,439137,481981,532746,497619,501410,479535,495419,528032,519109,517228
313,녹번,승차,5045010,386546,328498,378572,416959,455663,431263,431720,413738,431379,451897,462878,455897
313,녹번,하차,4523371,352932,299983,342684,373964,402515,382158,382406,371178,384780,403976,415629,411166
314,홍제,승차,5833934,436636,378501,436929,486699,535948,498763,493750,473933,500890,532706,533896,525283
314,홍제,하차,5543112,417966,364734,418558,463301,504683,468291,462977,448471,474996,505959,509064,504112
315,무악재,승차,1306724,99512,84601,95452,106971,117042,111609,112359,107675,110148,116525,121880,122950
315,무악재,하차,1326860,101530,87910,98364,111016,120121,112175,111111,107268,111957,118603,123604,123201
316,독립문,승차,2413586,173296,153835,177138,199686,226021,207391,204103,199543,209708,228246,221644,212975
316,독립문,하차,2511161,179555,159347,186935,214555,241038,216332,206841,202622,217459,239780,229533,217164
317,경복궁,승차,7781476,492422,423962,505743,618729,835554,723900,619087,583976,703177,821601,761722,691603
317,경복궁,하차,8033995,487013,422049,499359,619155,886867,775383,637924,606647,743403,871073,788478,696644
318,안국,승차,7679126,495666,415306,483860,601671,720418,663397,648211,612438,660119,821797,798197,758046
318,안국,하차,7961719,514732,431055,504806,631887,745264,677065,663799,631100,685414,857505,835729,783363
319,종로3가(3),승차,3187036,249398,215661,237987,258020,283809,271746,279729,263543,265459,281847,284780,295057
319,종로3가(3),하차,3821253,289868,250303,276931,309585,345204,328791,337790,317369,322908,343031,339940,359533
320,을지로3가(3),승차,3315284,250270,207095,231341,262927,292334,280967,288894,281979,279030,301264,312401,326782
320,을지로3가(3),하차,3346922,253470,209178,234648,270966,303918,288422,292688,281655,278597,299661,312354,321365
322,동대입구,승차,3062421,191854,169219,214380,253511,269726,250463,241411,238329,299659,318770,332268,282831
322,동대입구,하차,3379754,202457,181003,232599,282204,301186,274680,258106,257905,340435,363180,375359,310640
323,약수(3),승차,4264593,326007,279314,316379,352981,384236,364437,366102,355320,359251,385972,384262,390332
323,약수(3),하차,4128754,315200,270419,308905,345394,372210,353117,352964,342845,347806,369858,372547,377489
324,금호,승차,2637955,206255,175145,193953,216127,235102,225384,225457,217959,222999,245278,238268,236028
324,금호,하차,2454995,196360,167206,184126,201832,215804,206867,206441,201922,206395,227921,219598,220523
325,옥수,승차,3030324,230860,194617,219148,252217,279499,262050,260995,252017,262033,277280,271557,268051
325,옥수,하차,3110175,242273,204488,229228,258480,282408,267789,267047,259399,266999,280300,276870,274894
326,압구정,승차,10420261,841177,704435,752618,826053,896761,884520,920302,881606,868655,923833,935662,984639
326,압구정,하차,11185880,887756,744003,798880,885287,973227,949766,986301,943914,937830,1003636,1012620,1062660
327,신사,승차,9701690,827173,694604,750870,817092,880763,791557,826980,793601,767684,831589,838313,881464
327,신사,하차,10166650,850248,716252,778056,858245,932156,840508,876548,833201,810364,875695,875878,919499
328,잠원,승차,1595425,119531,100593,115277,131588,146664,135791,136618,133283,139679,145203,147846,143352
328,잠원,하차,1546993,117831,99607,113107,130145,140253,131108,132343,128687,133634,139936,142526,137816
329,고속터미널(3),승차,15944477,1154523,1011943,1036447,1235704,1474935,1369944,1436149,1371087,1409595,1506190,1409889,1528071
329,고속터미널(3),하차,15520225,1181815,930741,1007250,1212565,1433054,1336554,1402838,1322085,1375698,1460907,1375116,1481602
330,교대(3),승차,4488506,334927,280924,322992,366729,404425,385259,386268,373856,384925,400429,422526,425246
330,교대(3),하차,2910688,215988,181697,209512,239052,262827,247886,250660,242524,251690,260130,276578,272144
331,남부터미널,승차,9513463,731371,630580,683056,771552,855519,811162,835966,804723,801492,848706,859010,880326
331,남부터미널,하차,9679121,756252,631554,695395,782158,871821,825230,849472,813746,812085,864724,880627,896057
332,양재,승차,11735115,940251,782340,875083,974672,1060729,995162,996280,959820,974599,1021600,1072032,1082547
332,양재,하차,12767721,1009461,846593,948860,1060146,1172155,1090347,1088254,1044475,1059409,1117843,1163641,1166537
333,매봉,승차,3841133,302906,252679,278753,316996,342107,330902,336056,322343,322682,329846,351474,354389
333,매봉,하차,3698423,290192,242407,266997,305074,332329,320523,323994,309725,308752,318065,337797,342568
334,도곡,승차,1672532,131405,110517,125017,141632,154318,147034,144723,137228,135431,142208,150132,152887
334,도곡,하차,1711522,133829,114211,129258,148029,159736,149258,145659,140566,142671,143231,150903,154171
335,대치,승차,3786142,306550,254650,275248,291394,328793,315011,339379,336447,331827,342882,337586,326375
335,대치,하차,3715666,298642,250275,271810,289141,321799,310948,329530,323945,324318,332454,337776,325028
336,학여울,승차,792394,48268,49594,62433,63117,84113,65571,67368,71937,63872,78459,67157,70505
336,학여울,하차,817436,48960,50901,66051,65325,86375,68102,68785,75103,65229,80521,69296,72788
337,대청,승차,3256195,246201,211531,240823,267368,290373,282125,278631,273413,277430,290248,298005,300047
337,대청,하차,3031890,231441,198555,222857,245259,267227,260410,259263,256593,257874,271280,279142,281989
338,일원,승차,3269159,241868,206754,237256,263226,289959,283043,280916,278642,281756,294047,305487,306205
338,일원,하차,3153327,235542,201849,229971,254727,278706,272276,271635,268149,270123,283384,293939,293026
339,수서,승차,5910648,445944,382751,421826,479327,527354,505218,510574,494794,504853,540896,543744,553367
339,수서,하차,5988655,455512,384416,428944,485421,533421,512400,517473,501174,509374,547564,551189,561767
340,가락시장(3),승차,2899529,229020,186999,213117,236711,257568,246532,247673,240842,245755,257346,264975,272991
340,가락시장(3),하차,2853223,224663,182340,208922,234819,253730,241694,240833,236635,243151,254664,262051,269721
341,경찰병원,승차,2303416,181899,152858,169892,186505,201756,195191,198451,194539,193434,202499,211750,214642
341,경찰병원,하차,2303416,182696,153691,170011,186071,200346,194509,198008,195728,192593,202184,211357,216222
342,오금(3),승차,1998915,153595,130167,145890,164713,178976,170041,171309,165968,168422,179218,188934,181682
342,오금(3),하차,1821149,139179,119355,135008,152823,163371,153399,155402,151199,154050,163846,167892,165625
409,당고개,승차,3328266,331508,286016,294729,255810,281359,259223,265025,258262,265728,278535,275733,276338
